C/NO-1 (dB-Hz),PR-1 (m),Elevation-1 (deg),output-1
45.082294,38383731.63,33.121727,LOS
45.312771,38383796.43,33.121037,LOS
45.767006,38383860.99,33.120354,LOS
45.787125,38383925.61,33.119667,LOS
45.86937,38383984.81,33.118984,LOS
45.866302,38384049.6,33.118298,LOS
45.556545,38384114.29,33.117611,LOS
45.961182,38384178.57,33.116924,LOS
45.860958,38384238.01,33.116245,LOS
46.358143,38384302.41,33.115555,LOS
46.589577,38384366.79,33.114868,LOS
46.997032,38384431.51,33.114185,LOS
46.913441,38384490.35,33.113495,LOS
47.06683,38384555.16,33.112816,LOS
46.628464,38384619.75,33.112137,LOS
46.272476,38384678.74,33.111443,LOS
45.309616,38384743.02,33.11076,LOS
45.442612,38384807.58,33.110085,LOS
46.43507,38384872.2,33.109402,LOS
47.171169,38384930.66,33.108723,LOS
47.824158,38384995.15,33.108025,LOS
46.737865,38385059.82,33.107349,LOS
45.115723,38385124.46,33.106663,LOS
44.406666,38385183.49,33.105984,MP
45.598007,38385247.98,33.105305,LOS
45.620934,38385312.56,33.104626,LOS
44.833408,38385376.86,33.103939,LOS
45.077892,38385435.96,33.103256,LOS
45.295486,38385500.53,33.102577,LOS
45.709614,38385565.02,33.101902,LOS
45.556316,38385624.13,33.101215,LOS
45.838455,38385688.31,33.100536,LOS
45.743977,38385752.55,33.099861,LOS
45.310951,38385817.12,33.099178,LOS
45.831753,38385876.14,33.098499,LOS
46.468483,38385940.63,33.097828,LOS
47.153641,38386005.08,33.097145,LOS
47.47308,38386069.25,33.096466,LOS
47.043568,38386128.05,33.095787,LOS
47.029472,38386192.19,33.0951,LOS
46.994259,38386256.43,33.094421,LOS
46.347996,38386320.85,33.093739,LOS
45.862408,38386379.87,33.09306,LOS
46.132133,38386444.43,33.092388,LOS
46.265511,38386509.13,33.091702,LOS
46.726768,38386567.74,33.091019,LOS
46.522926,38386631.72,33.09034,LOS
46.000031,38386695.69,33.089668,LOS
46.138653,38386754.16,33.088985,LOS
45.753525,38386818.15,33.088303,LOS
45.183392,38386882.18,33.087631,LOS
45.643875,38386946.24,33.086948,LOS
45.697937,38387010.05,33.086273,LOS
45.845837,38387068.65,33.085594,LOS
45.956245,38387132.3,33.084923,LOS
46.456532,38387196.19,33.08424,LOS
47.879471,38387260.24,33.083565,LOS
48.229214,38387319.01,33.08289,LOS
46.600323,38387382.84,33.082211,LOS
45.848499,38387446.9,33.081528,LOS
46.592773,38387510.62,33.080856,LOS
47.696022,38387568.99,33.080177,LOS
47.893421,38387632.56,33.079498,LOS
47.713886,38387696.94,33.078831,LOS
47.09288,38387761.19,33.078148,LOS
46.218506,38387819.53,33.077477,LOS
45.042351,38387883.49,33.076801,LOS
44.132378,38387947.23,33.076122,MP
44.466568,38388005.87,33.075451,MP
44.435993,38388070.0,33.074772,MP
44.410606,38388133.46,33.074104,MP
44.678528,38388197.51,33.073425,LOS
45.373398,38388255.61,33.07275,LOS
45.633526,38388319.31,33.072071,LOS
45.674606,38388382.88,33.071396,LOS
47.018116,38388446.92,33.070724,LOS
47.062954,38388505.36,33.070053,LOS
47.340347,38388569.08,33.069374,LOS
47.590858,38388632.65,33.06871,LOS
47.840595,38388696.72,33.068035,LOS
47.626034,38388754.91,33.067364,LOS
47.306866,38388818.36,33.066685,LOS
46.658508,38388881.95,33.06601,LOS
45.975163,38388945.56,33.065334,LOS
45.804131,38389004.05,33.064667,LOS
46.545013,38389067.76,33.063984,LOS
47.019691,38389131.16,33.06332,LOS
47.601677,38389194.72,33.062645,LOS
47.388523,38389253.05,33.061974,LOS
46.135384,38389316.63,33.061298,LOS
46.521839,38389379.91,33.060627,LOS
47.195911,38389437.93,33.059956,LOS
47.58498,38389501.54,33.05928,LOS
47.984119,38389565.08,33.058613,LOS
47.894695,38389628.56,33.057941,LOS
47.641495,38389686.79,33.057266,LOS
47.786972,38389750.14,33.056591,LOS
47.972988,38389813.48,33.055923,LOS
48.548019,38389876.69,33.055256,LOS
48.831726,38389939.99,33.054581,LOS
48.520542,38389998.06,33.053909,LOS
48.039162,38390061.65,33.053242,LOS
47.359829,38390125.16,33.05257,LOS
47.505634,38390188.3,33.051903,LOS
47.700085,38390246.35,33.051231,LOS
47.795563,38390309.57,33.050556,LOS
48.26482,38390372.91,33.049892,LOS
48.183525,38390436.18,33.049221,LOS
47.998936,38390494.44,33.048557,LOS
47.879887,38390557.72,33.04789,LOS
47.273148,38390621.02,33.047222,LOS
47.188747,38390684.52,33.046555,LOS
46.918438,38390741.99,33.045883,LOS
47.103031,38390805.39,33.045212,LOS
46.968613,38390868.85,33.044548,LOS
47.175728,38390931.84,33.04388,LOS
48.129204,38390989.74,33.043217,LOS
47.865868,38391052.75,33.042549,LOS
47.296879,38391116.1,33.041882,LOS
46.82196,38391179.26,33.04121,LOS
45.767563,38391237.33,33.040539,LOS
45.586044,38391300.64,33.039867,LOS
46.389267,38391363.53,33.039204,LOS
47.20594,38391426.61,33.03854,LOS
47.60849,38391484.2,33.037872,LOS
47.437721,38391547.31,33.037209,LOS
47.331116,38391610.49,33.036537,LOS
47.47419,38391673.55,33.035873,LOS
47.617657,38391731.26,33.035206,LOS
47.657063,38391793.97,33.034538,LOS
47.467022,38391856.65,33.033871,LOS
47.495754,38391919.82,33.033207,LOS
47.960953,38391977.34,33.032539,LOS
47.488911,38392040.71,33.031872,LOS
47.034393,38392103.76,33.031212,LOS
46.441677,38392166.57,33.03054,LOS
46.223904,38392224.27,33.029873,LOS
45.968494,38392287.14,33.029213,LOS
46.508831,38392349.98,33.028549,LOS
46.98793,38392412.81,33.027885,LOS
47.757347,38392470.03,33.027222,LOS
48.153343,38392532.93,33.026558,LOS
47.992783,38392595.88,33.025894,LOS
47.174618,38392658.64,33.02523,LOS
46.380913,38392721.38,33.024567,LOS
45.527634,38392778.82,33.023903,LOS
45.995163,38392841.46,33.023235,LOS
47.030617,38392904.21,33.022579,LOS
48.094685,38392967.01,33.021912,LOS
47.792416,38393024.93,33.021244,LOS
46.773617,38393087.45,33.020576,LOS
46.010693,38393150.33,33.019917,LOS
45.30825,38393213.2,33.019253,LOS
44.886806,38393270.29,33.018597,LOS
44.624508,38393332.75,33.017933,LOS
45.473824,38393395.45,33.017269,LOS
45.937912,38393458.04,33.016609,LOS
46.172016,38393515.29,33.015945,LOS
47.138966,38393578.25,33.015285,LOS
47.793583,38393640.89,33.014622,LOS
47.56324,38393703.25,33.013966,LOS
46.901993,38393760.38,33.013294,LOS
46.403355,38393822.93,33.012638,LOS
45.719379,38393885.23,33.011982,LOS
46.288479,38393947.61,33.011314,LOS
